date,year,org.datafile,SID,waterbody,location,analysis.group,group,broad.taxa,functional.taxa,detailed.taxa,sample.type,dC13,dN15,CN
2013,,CRD SI Data,8061,Lily,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-29.02092985,6.157157257,4.774732889
2013,,CRD SI Data,8078,Rich Hate Me,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-34.12700271,6.124259246,4.945026434
2013,,CRD SI Data,8110,Square,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-31.03424811,3.743463097,4.735066685
2013,,CRD SI Data,8112,Scott S,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-27.78209001,1.600262284,5.244541473
2013,,CRD SI Data,8139,Rusty W,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-27.53552257,5.247450962,4.308494209
2013,,CRD SI Data,8159,Storey S,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-24.51411883,3.921866608,5.164147503
2013,,CRD SI Data,8160,Storey S,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-23.67080114,4.006077871,5.179225577
2013,,CRD SI Data,8186,Storey N,NA,Aquatic Detritivore,Invertebrate,Other Invertebrate,detritivore,Amphipoda,whole invertebrate,-28.40491813,1.214346292,4.956357784
NA,,Cordova_Stable_Isotope_AllData_07_10,4167,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,chick,-28.012,7.339,
NA,,Cordova_Stable_Isotope_AllData_07_10,4169,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,egg membrane,-24.901,7.92,
NA,,Cordova_Stable_Isotope_AllData_07_10,4175,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,egg membrane,-25.315,7.822,
NA,,Cordova_Stable_Isotope_AllData_07_10,4079,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,egg shell,-17.405,5.73,
NA,,Cordova_Stable_Isotope_AllData_07_10,4168,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,egg shell,-16.625,6.637,
NA,,Cordova_Stable_Isotope_AllData_07_10,4078,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,feather,-15.476,7.998,
NA,,Cordova_Stable_Isotope_AllData_07_10,4166,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas acuta,yolk,-29.377,5.946,
6/7/09,,Cordova_Stable_Isotope_AllData_07_10,4172,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas platyrhynchos,chick embryo,-27.15,7.53,
6/7/09,,Cordova_Stable_Isotope_AllData_07_10,4171,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas platyrhynchos,egg membrane,-27.148,7.702,
6/7/09,,Cordova_Stable_Isotope_AllData_07_10,4076,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas platyrhynchos,egg shell,-19.114,6.133,
6/7/09,,Cordova_Stable_Isotope_AllData_07_10,4154,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas platyrhynchos,egg white,-28.851,7.124,
6/7/09,,Cordova_Stable_Isotope_AllData_07_10,4153,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Anas platyrhynchos,yolk,-33.037,6.077,
6/10/09,,Cordova_Stable_Isotope_AllData_07_10,4098,NA,4B,Terr. Predator,Terr. Invertebrate,Other Invertebrate,predator,Arachnid,whole invertebrate,-27.318,4.245,
6/10/09,,Cordova_Stable_Isotope_AllData_07_10,4091,NA,2C,Terr. Predator,Terr. Invertebrate,Other Invertebrate,predator,Arachnid,whole invertebrate,-26.954,4.589,
6/4/09,,Cordova_Stable_Isotope_AllData_07_10,4170,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Aythya collaris,egg membrane,-26.374,6.947,
6/4/09,,Cordova_Stable_Isotope_AllData_07_10,4149,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Aythya collaris,egg shell,-17.729,6.037,
6/4/09,,Cordova_Stable_Isotope_AllData_07_10,4150,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Aythya collaris,egg white,-27.466,6.243,
6/4/09,,Cordova_Stable_Isotope_AllData_07_10,4073,NA,NA,Waterfowl,Waterfowl,Bird,herbivore,Aythya collaris,yolk,-31.535,5.848,
7/5/09,,Cordova_Stable_Isotope_AllData_07_10,3950,Sheridan,Square Pond,Detritus,Detritus,Detritus,detritus,Benthic Organic Matter,BOM,-30.052,0.657,
7/5/09,,Cordova_Stable_Isotope_AllData_07_10,3967,Sheridan,Outwash #2,Detritus,Detritus,Detritus,detritus,Benthic Organic Matter,BOM,-32.266,1.275,
7/5/09,,Cordova_Stable_Isotope_AllData_07_10,3983,Scott,Outwash Lily Pond,Detritus,Detritus,Detritus,detritus,Benthic Organic Matter,BOM,-30.104,-0.895,
7/6/09,,Cordova_Stable_Isotope_AllData_07_10,3996,Alaganik,Uplift Rusty #3,Detritus,Detritus,Detritus,detritus,Benthic Organic Matter,BOM,-25.99,0.908,
7/6/09,,Cordova_Stable_Isotope_AllData_07_10,4008,Alaganik,Uplift Rusty #2,Detritus,Detritus,Detritus,detritus,Benthic Organic Matter,BOM,-27.98,0.088,
